subject,effect,dwell_decoy,cs_decoy,cs_decoy_z,dwell_decoy_z,is_attraction
0,attraction,0.3111,0.0417,-0.5887233901603541,0.2736581783990831,1
0,compromise,0.3175,0.2396,0.5875049626094809,0.4915632909034864,0
1,attraction,0.3079,0.0104,-0.7747564747570992,0.16470562214688236,1
1,compromise,0.3094,0.2396,0.5875049626094809,0.21577713289010178,0
2,attraction,0.2791,0.0,-0.8365693846550591,-0.8158673841229297,1
2,compromise,0.2793,0.0729,-0.4032846604664741,-0.8090578493571678,0
3,attraction,0.2957,0.0521,-0.5269104802623941,-0.25067599856463496,1
3,compromise,0.3488,0.375,1.392261501088691,1.5572554817453308,0
4,attraction,0.3051,0.0208,-0.7129435648591391,0.06937213542620531,1
4,compromise,0.3338,0.2917,0.8971638670021459,1.0465403743131365,0
5,attraction,0.2804,0.0208,-0.7129435648591391,-0.771605408145474,1
5,compromise,0.3073,0.1042,-0.21725157586972912,0.14427701784959496,0
6,attraction,0.2216,0.0,-0.8365693846550591,-2.773608629279674,1
6,compromise,0.3266,0.375,1.392261501088691,0.8013971227456839,0
7,attraction,0.2926,0.0,-0.8365693846550591,-0.3562237874339548,1
7,compromise,0.3029,0.2812,0.8347566022013209,-0.005532746997182436,0
8,attraction,0.2831,0.0,-0.8365693846550591,-0.6796766888076778,1
8,compromise,0.2609,0.0417,-0.5887233901603541,-1.4355350478073248,0
9,attraction,0.2854,0.0104,-0.7747564747570992,-0.6013670390014092,1
9,compromise,0.3529,0.2604,0.711130782405401,1.6968509444434636,0
10,attraction,0.3221,0.0208,-0.7129435648591391,0.6481825905160256,1
10,compromise,0.3166,0.1146,-0.15543866597176917,0.46092038445755434,0
11,attraction,0.3146,0.0417,-0.5887233901603541,0.3928250367999284,1
11,compromise,0.3219,0.1875,0.27784605821681585,0.6413730557502637,0
12,attraction,0.3025,0.0104,-0.7747564747570992,-0.019151816528707996,1
12,compromise,0.3049,0.0833,-0.34147175056851414,0.06256260066044347,0
13,attraction,0.2153,0.0208,-0.7129435648591391,-2.9881089744011953,1
13,compromise,0.3013,0.1875,0.27784605821681585,-0.060009025123282794,0
14,attraction,0.3053,0.0104,-0.7747564747570992,0.07618167019196904,1
14,compromise,0.3554,0.5625,2.506676943960566,1.781970129015496,0
15,attraction,0.3059,0.0208,-0.7129435648591391,0.09661027448925644,1
15,compromise,0.2703,0.0,-0.8365693846550591,-1.1154869138164845,0
16,attraction,0.2625,0.0,-0.8365693846550591,-1.3810587696812244,1
16,compromise,0.3358,0.5521,2.444864034062606,1.1146357219707623,0
17,attraction,0.2912,0.0208,-0.7129435648591391,-0.40389053079429327,1
17,compromise,0.3508,0.3125,1.020789686798066,1.6253508294029568,0
18,attraction,0.2739,0.0104,-0.7747564747570992,-0.9929152880327582,1
18,compromise,0.2859,0.2708,0.7729436923033608,-0.5843432020870027,0
19,attraction,0.2923,0.0,-0.8365693846550591,-0.36643808958259944,1
19,compromise,0.3292,0.3958,1.5158873208846109,0.8899210747005972,0
20,attraction,0.2748,0.0104,-0.7747564747570992,-0.9622723815868262,1
20,compromise,0.311,0.1562,0.09181297362007089,0.27025341101620215,0
21,attraction,0.2648,0.0104,-0.7747564747570992,-1.3027491198749557,1
21,compromise,0.3674,0.6042,2.7545229384552705,2.1905422149612517,0
22,attraction,0.3166,0.0,-0.8365693846550591,0.46092038445755434,1
22,compromise,0.2983,0.1667,0.15422023842089577,-0.16215204660972166,0
23,attraction,0.3104,0.0312,-0.6511306549611791,0.24982480671891474,1
23,compromise,0.3203,0.3021,0.9589767769001057,0.5868967776241615,0
24,attraction,0.2714,0.0104,-0.7747564747570992,-1.0780344726047906,1
24,compromise,0.2982,0.1771,0.2160331483188559,-0.16555681399260258,0
26,attraction,0.2993,0.0,-0.8365693846550591,-0.12810437278090872,1
26,compromise,0.3372,0.3438,1.2068227713948108,1.162302465331101,0
27,attraction,0.3027,0.0,-0.8365693846550591,-0.012342281762944272,1
27,compromise,0.2921,0.0104,-0.7747564747570992,-0.37324762434836123,0
30,attraction,0.2783,0.0,-0.8365693846550591,-0.8431055231859809,1
30,compromise,0.3017,0.2188,0.46387914281356085,-0.04638995559175723,0
31,attraction,0.2879,0.0104,-0.7747564747570992,-0.5162478544293768,1
31,compromise,0.3015,0.4062,1.577700230782571,-0.05319949035752095,0
32,attraction,0.3498,0.0,-0.8365693846550591,1.5913031555741437,1
32,compromise,0.3104,0.4479,1.825546225277276,0.24982480671891474,0
33,attraction,0.3257,0.0,-0.8365693846550591,0.7707542162997518,1
33,compromise,0.3196,0.3125,1.020789686798066,0.5630634059439932,0
34,attraction,0.2996,0.0,-0.8365693846550591,-0.11789007063226595,1
34,compromise,0.3133,0.4062,1.577700230782571,0.3485630608224727,0
35,attraction,0.32,0.0,-0.8365693846550591,0.5766824754755188,1
35,compromise,0.276,0.0417,-0.5887233901603541,-0.9214151729922495,0
36,attraction,0.2531,0.0104,-0.7747564747570992,-1.7011069036720665,1
36,compromise,0.2463,0.0625,-0.46509757036443417,-1.9326310857079945,0
37,attraction,0.242,0.0,-0.8365693846550591,-2.07903608317189,1
37,compromise,0.3362,0.375,1.392261501088691,1.128254791502288,0
38,attraction,0.2979,0.0,-0.8365693846550591,-0.1757711161412472,1
38,compromise,0.2847,0.0417,-0.5887233901603541,-0.6252004106815775,0
39,attraction,0.3198,0.125,-0.09362575607380914,0.569872940709755,1
39,compromise,0.3332,0.4688,1.9497663999760608,1.026111770015849,0
41,attraction,0.3106,0.0417,-0.5887233901603541,0.25663434148467656,1
41,compromise,0.3166,0.3125,1.020789686798066,0.46092038445755434,0
42,attraction,0.3097,0.0208,-0.7129435648591391,0.22599143503874455,1
42,compromise,0.2919,0.375,1.392261501088691,-0.38005715911412496,0
43,attraction,0.3241,0.0625,-0.46509757036443417,0.7162779381736515,1
43,compromise,0.3715,0.4375,1.7637333153793158,2.3301376776593843,0
